year,data_index,all_wedges_index,no_shock_index,efficiency_only_index,labor_only_index,investment_only_index,government_only_index,data_log_deviation,all_wedges_log_deviation,no_shock_log_deviation,efficiency_only_log_deviation,labor_only_log_deviation,investment_only_log_deviation,government_only_log_deviation
1972.0,112.07580734093398,112.07580734093398,90.93498221931534,138.771467994438,97.82952578089397,89.74085965650097,99.79700115737857,0.11400530760483818,0.11400530760483818,-0.09502541594093383,0.3276582789541229,-0.021943754909691027,-0.10824400607337736,-0.0020320516453997683
1973.0,114.97891505880277,114.97891505880277,90.55857398095424,144.5580001524509,97.45990201891213,88.93027524308461,99.76856446766608,0.13957857825022657,0.13957857825022657,-0.09917331833394094,0.36851062616899855,-0.025729153919920922,-0.11731754752809298,-0.0023170375828875933
1974.0,111.09540876010763,111.09540876010763,90.21655076707889,142.0867849669399,97.07080806757017,88.39361077685997,99.64086656723333,0.10521918451201895,0.10521918451201895,-0.10295728609448762,0.35126784666890565,-0.029729493712531863,-0.12337049523641408,-0.003597798650463613
1975.0,107.62668014545736,107.62668014545736,89.90566332703267,139.54099516873467,97.49905514653115,87.20824814055625,99.73862796523748,0.07349838774556927,0.07349838774556927,-0.10640925064336315,0.3331882442786678,-0.025327498836054563,-0.13687127077854555,-0.0026171420782512556
1976.0,110.1499544055817,110.1499544055817,89.62298752117606,144.8878039505342,97.1065191405706,86.6571850913029,99.48300266295078,0.0966724733299138,0.0966724733299138,-0.10955834175638302,0.37078949106278536,-0.029361674524612358,-0.14321025241825414,-0.005183383924257434
1977.0,111.85315327593693,111.85315327593686,89.36588882572515,148.8840730883718,96.75319460727583,86.25148854555195,99.30428083109257,0.11201669355724864,0.11201669355724819,-0.11243113337915123,0.3979977841686919,-0.033006835426672154,-0.14790287172639527,-0.00698150578468093
1978.0,114.51009023194216,114.5100902319421,89.13199118388295,154.10643004259433,96.21936830785698,85.85918764312109,99.3112059835822,0.1354927574199234,0.13549275741992295,-0.1150518678741701,0.432473281895712,-0.03853951481984508,-0.15246158464895565,-0.006911771519710008
1979.0,114.54795906524852,114.54795906524852,88.91914959981457,155.57492205916827,95.88060248468442,85.54917944411851,99.33945089208723,0.13582340577537355,0.13582340577537355,-0.11744266059263442,0.4419572434814838,-0.04206649270484997,-0.156078777231615,-0.0066274038851945605
1980.0,110.94382648721984,110.94382648721991,88.72542596604917,151.9173540702118,95.97444865798033,85.04301289076409,99.45589846412113,0.10385381954607054,0.10385381954607098,-0.11962368649721444,0.4181664637648197,-0.04108818975976902,-0.16201302348081725,-0.005455871596037554
1981.0,110.43946977812647,110.43946977812651,88.54906769282579,152.27836061119416,95.41536133570028,85.11993386089124,99.4765173973156,0.09929740006746668,0.09929740006746712,-0.1216133504106569,0.4205399798469931,-0.04693060020586648,-0.161108937405265,-0.005248575734485783
1982.0,105.31302669299076,105.31302669299076,88.38848877270463,145.60092526696434,96.08252944058825,84.73493410822314,99.48026984701006,0.05176693578516467,0.05176693578516467,-0.12342844232686989,0.3756993046098267,-0.0399626821621033,-0.1656422241647837,-0.00521085448107339
1983.0,106.99788854322537,106.99788854322532,88.24225296782991,148.2966848771916,96.59763903323483,84.17892609916038,99.39378861617165,0.0676389150382275,0.06763891503822705,-0.12508427909510278,0.3940447087400005,-0.03461588571803942,-0.17222557992399512,-0.006080563048976639
1984.0,111.52116052791085,111.52116052791092,88.10905885247746,155.56937765736436,96.03137104673631,84.12173201733468,99.2484572593512,0.10904416742541745,0.10904416742541789,-0.12659483367282842,0.4419216047003167,-0.040495266164941146,-0.1729052455256328,-0.007543810527986583
1985.0,112.88847146899103,112.88847146899111,87.98772648150485,158.5037552897994,96.16031756091803,83.39334636186501,99.40522611705846,0.12123016719007484,0.12123016719007573,-0.12797285303806216,0.4606080997286992,-0.03915341278445439,-0.18160165963972297,-0.005965497077298654
1986.0,113.45390432462797,113.45390432462797,87.87718548731567,160.7239072529907,96.07051373846411,82.76376489823315,99.49245095737002,0.12622643914209464,0.12622643914209464,-0.1292299657561058,0.4745178451550798,-0.04008774603765808,-0.1891798423833464,-0.0050884144769769435
1987.0,114.04791598335815,114.0479159833582,87.77646443496775,162.16858990329075,96.29124708976943,82.29682359865801,99.5423313550233,0.1314484897420205,0.13144848974202095,-0.1303767801084561,0.4834662865292816,-0.03779276342533988,-0.19483767444894085,-0.004587191543798941
1988.0,115.42916810126148,115.42916810126148,87.68468128795517,165.26328080319047,96.38074276087647,81.53724059827309,99.74965009796466,0.1434868926584274,0.1434868926584274,-0.13142297361193478,0.5023696574610637,-0.03686376821837811,-0.20411033025038794,-0.002506638014098783
1989.0,116.21879438702794,116.21879438702794,87.60103485664905,167.0097982582291,96.5500841430386,81.03096671649396,99.89282886013923,0.15030438706374394,0.15030438706374394,-0.13237737468345667,0.512882296912482,-0.03510830561691414,-0.21033879923374244,-0.0010722860919090138
1990.0,114.78484442418754,114.78484442418758,87.5247971179659,166.31606392665557,96.6573497908908,80.40567602656995,99.9577761664595,0.13788927197142575,0.1378892719714262,-0.13324803713958389,0.508719791616981,-0.033997937794217226,-0.21808541494964828,-0.00042232750311166356
1991.0,110.92014271878392,110.92014271878399,87.45530630901014,162.35023085819955,96.60850072032461,79.8579182016105,100.06958898608124,0.10364032144080682,0.10364032144080726,-0.13404230815952367,0.48458573453819165,-0.034503449466116276,-0.2249211527918371,0.0006956478417361467
1992.0,111.02526525634264,111.02526525634266,87.39196070958832,163.70138122968447,96.7918646966004,79.27847979971207,99.9914436945482,0.1045876043459022,0.10458760434590264,-0.13476689028509448,0.49287373592019756,-0.03260723762781126,-0.232203471229516,-8.556671524484472e-5
1993.0,110.3784050515781,110.3784050515781,87.33421303894191,163.59148579836517,97.04639449998375,78.90745793225254,99.82237599736959,0.09874432230460828,0.09874432230460828,-0.1354278979808523,0.49220219402900334,-0.02998102801647029,-0.2368944387471812,-0.0017778194111408574
1994.0,111.20203244173734,111.20203244173734,87.28156540105358,165.6074799832647,96.99730393100491,78.6662009976761,99.73163542751941,0.10617847301511496,0.10617847301511496,-0.13603090923165695,0.5044502239240471,-0.03048700239670632,-0.23995658916917773,-0.0026872531574868574
