year,log_z,tau_h,tau_x,log_g,log_z_linear,tau_h_linear
1964.5,-5.13948229524005,0.5951467641031503,-0.17044385277329205,-6.92598668773656,-5.13948229524005,0.5940651640251547
1964.75,-5.153016245534289,0.5913798242962671,-0.17333190070396204,-6.937529867117363,-5.153016245534289,0.5898538518908498
1965.0,-5.138455376242245,0.5930367510280672,-0.1839881127574524,-6.962591849137947,-5.138455376242245,0.5917644915792313
1965.25,-5.141443231945224,0.5886792265436439,-0.17636826001232445,-6.940080572641038,-5.141443231945224,0.5852577869215478
1965.5,-5.119711095679659,0.5930532190607282,-0.17020766085588565,-6.921591014045964,-5.119711095679659,0.5900074058888868
1965.75,-5.107430234674438,0.589021891075312,-0.15509411988175933,-6.894202160505014,-5.107430234674438,0.5838638519651994
1966.0,-5.09513642817886,0.589014414540423,-0.16027209619100852,-6.905251519280282,-5.09513642817886,0.5829608092353963
1966.25,-5.110487238307053,0.584002644599876,-0.15569179207776007,-6.885683151641554,-5.110487238307053,0.5763234794127681
1966.5,-5.115344544616052,0.584101592467216,-0.15881119086414455,-6.877869519615635,-5.115344544616052,0.5757123584261773
1966.75,-5.117867453998269,0.5861906299714787,-0.16375527800000292,-6.872659359017952,-5.117867453998269,0.5776954585920447
1967.0,-5.120108097026357,0.586135400109293,-0.15511303663990006,-6.830943229208153,-5.120108097026357,0.5755373554626616
1967.25,-5.125848304749264,0.5881677904971462,-0.15403924478882022,-6.829847150599548,-5.125848304749264,0.5788928872307391
1967.5,-5.128607512829879,0.5882456835747516,-0.15891315262842073,-6.833576633057251,-5.128607512829879,0.5788459541531884
1967.75,-5.133257196854665,0.5893058902915929,-0.16463422523107968,-6.831439199384798,-5.133257196854665,0.5795384096017103
1968.0,-5.114813195361027,0.5915986698070721,-0.15677843040749823,-6.8189740721891425,-5.114813195361027,0.5822017061970928
1968.25,-5.1085673466994015,0.5902528606867642,-0.15452096721393854,-6.817840659464315,-5.1085673466994015,0.5803882358416486
1968.5,-5.1149487783073475,0.5859521362794134,-0.14890604015427572,-6.8151896360408495,-5.1149487783073475,0.5753717634788941
1968.75,-5.124377459196884,0.5862241699326032,-0.15543759353847653,-6.81934104084477,-5.124377459196884,0.575644950573086
1969.0,-5.1238134328233365,0.584228997433311,-0.16366255521230536,-6.840846437824042,-5.1238134328233365,0.5736225629511991
1969.25,-5.134104910162623,0.5825835868771925,-0.16094548698799982,-6.829649908771335,-5.134104910162623,0.5713584313553912
1969.5,-5.139232740455329,0.5833515465346861,-0.1632690082236263,-6.822274070714956,-5.139232740455329,0.5716602048588523
1969.75,-5.156188623654487,0.5811852070226342,-0.15743482371684123,-6.817106895054916,-5.156188623654487,0.5694860199792348
1970.0,-5.161925940396907,0.583483326408903,-0.1547941727221345,-6.8226305598195855,-5.161925940396907,0.573474601007076
1970.25,-5.162983741412105,0.5897469493427976,-0.1618360370420956,-6.829905427325193,-5.162983741412105,0.582005051499582
1970.5,-5.150222991002727,0.5958655022460129,-0.15942351752884348,-6.832834161658309,-5.150222991002727,0.5909783943610947
1970.75,-5.172536448295136,0.5938279359979204,-0.1556747324190131,-6.84469964726979,-5.172536448295136,0.5893433155534846
1971.0,-5.141905132429535,0.6060683069375417,-0.17078241293535498,-6.831151694177353,-5.141905132429535,0.6039696801298111
1971.25,-5.146799687675519,0.6068036245490409,-0.18099328147693333,-6.8588632842130695,-5.146799687675519,0.6067035113140116
1971.5,-5.143416862124479,0.6104395352136938,-0.18469736636010445,-6.862170958947168,-5.143416862124479,0.6118910635965649
1971.75,-5.155647537966722,0.606371492959225,-0.18325600374353548,-6.876269234134584,-5.155647537966722,0.6076794733778355
1972.0,-5.151418508292456,0.6057122952491292,-0.18735841937376752,-6.868190349608178,-5.151418508292456,0.6052579329840622
1972.25,-5.13079917585905,0.607805055544977,-0.18404882123512795,-6.872106524421375,-5.13079917585905,0.6085814182399603
1972.5,-5.133205433220674,0.6053366074594676,-0.18375597549371342,-6.885738437222726,-5.133205433220674,0.6063729976543479
1972.75,-5.12502179363844,0.6043762222813636,-0.18134828611800008,-6.891785325354597,-5.12502179363844,0.6055537233735265
1973.0,-5.108830841797838,0.6057310938792294,-0.18249277236910766,-6.886679206790354,-5.108830841797838,0.6060211319546733
1973.25,-5.112910934578402,0.6043946962313604,-0.1843990821747146,-6.878912820697303,-5.112910934578402,0.6032627204391344
1973.5,-5.138909265912404,0.5987433879919721,-0.18490268926555953,-6.881315462444681,-5.138909265912404,0.5965562027251707
1973.75,-5.138302674763062,0.6014272135042522,-0.1890467687996033,-6.872971741864404,-5.138302674763062,0.5991092146871707
1974.0,-5.164795487380918,0.5964266994804879,-0.188607795575131,-6.882652353639062,-5.164795487380918,0.5938980755726033
1974.25,-5.167514892180846,0.5983251769253384,-0.19859007018238248,-6.929908676328127,-5.167514892180846,0.59966360415681
