year,y,c,x,g,h,k_data
1959.0,0.006927742291749239,0.0036082551072624375,0.0022131634066358276,0.0011063237778509744,0.2446806009521741,0.08125269854973345
1959.25,0.007065515026973012,0.0036505514708301532,0.0023117275356163516,0.0011032360205265072,0.2490737415410703,0.08196207924179769
1959.5,0.0070528353936733686,0.0036858954864535283,0.0022309696175510027,0.0011359702896688373,0.2463647757880142,0.08275689521368645
1959.75,0.007056519808436221,0.003720999278024774,0.0022102152073468625,0.0011253053230645851,0.2462202949372222,0.08345624322659892
1960.0,0.007199699846451357,0.0037270077185707086,0.0023488103949834455,0.0011238817328972032,0.2455235155863838,0.08412189365976261
1960.25,0.007144943417424975,0.0037736493773834227,0.0022279948125260803,0.0011432992275154724,0.2474229697774731,0.0849138197683103
1960.5,0.007160972341581294,0.0037563854518110804,0.002219924525631628,0.0011846623641385862,0.24708365724544185,0.08557027373757843
1960.75,0.007045259250254909,0.003773499371364991,0.0020545352532708554,0.0012172246256190629,0.24405767311604604,0.08620650811107354
1961.0,0.007062385146196038,0.0037873867111364724,0.002076467029992008,0.0011985314050675577,0.242428964878256,0.08666557811709898
1961.25,0.0071469879327870425,0.0038097371382405094,0.0021347758157822484,0.0012024749787642851,0.23881395787655424,0.08713808367077057
1961.5,0.007246853049949738,0.0038011433456792824,0.0022384966137530948,0.0012072130905173607,0.23932098425996468,0.08766015312302457
1961.75,0.007352455495450336,0.00383583579761848,0.0022947899372791607,0.0012218297605526946,0.2410754177253877,0.08827628118316688
1962.0,0.007450182869102791,0.0038519361743915522,0.002354507274505657,0.001243739420205582,0.2429908004232569,0.08893729958892387
1962.25,0.0074869836199535755,0.003883500346604809,0.002339590409831054,0.0012638928635177124,0.24354887921692114,0.08964580154681057
1962.5,0.0075497975697394,0.0039019938062460156,0.0023657462940215573,0.0012820574694718272,0.2420242013913272,0.09032627405402212
1962.75,0.007545698909028353,0.0039322102577294465,0.0023413381391421137,0.0012721505121567923,0.2398052425590666,0.09102030861392872
1963.0,0.00759815670858985,0.003931786254187261,0.0023898177456021675,0.0012765527088004214,0.23999533766537148,0.09167709018803787
1963.25,0.0076526861350885355,0.0039436697050686895,0.0024192375948497674,0.0012897788351700782,0.24046542170420254,0.09237019599658837
1963.5,0.007789556695396119,0.003997169455019565,0.0024794578969260413,0.001312929343450512,0.24010655325212935,0.09307989401231587
1963.75,0.007809571672878016,0.003992454798405735,0.0024847182342780617,0.0013323986401942193,0.2403342051406759,0.0938366776081022
1964.0,0.007943387260352897,0.00405085213790366,0.002540721271612916,0.0013518138508363223,0.2414771681998297,0.09458471538377962
1964.25,0.00799923170958581,0.004102441802795077,0.0025517312715188437,0.001345058635271888,0.2431809802626956,0.09537491190242398
1964.5,0.008093130871913776,0.004152139808992492,0.0025795932961588785,0.001361397766762406,0.2434311055968311,0.09616149387450304
1964.75,0.008086522133935016,0.004170261115940488,0.0025638087775275813,0.0013524522404669474,0.2441851027447009,0.09696138022090013
