year,y,c,x,h,k_data
1955.0,0.026053401779072335,0.015856212099205774,0.005855807524031861,0.25112206953142235,0.26476415191807295
1955.25,0.026417388440519995,0.016072710835206817,0.006106810394461228,0.2525388054994538,0.2668871523129235
1955.5,0.02671176929893702,0.01618342521526665,0.006147504891268331,0.25542064110765417,0.2692130878281658
1955.75,0.026808871877198066,0.016231532594304675,0.006326666088908011,0.2576550582575875,0.2715402483024408
1956.0,0.026641862395242664,0.016124910484247294,0.0062933528446662895,0.256565142670945,0.27401295867551045
1956.25,0.02679737628676954,0.016152207028267085,0.006224782791449679,0.256654792479499,0.2764035406301646
1956.5,0.026705718017524707,0.016104011239887434,0.006275732162126704,0.2556555199346785,0.2786591153315595
1956.75,0.02707174398482831,0.016311727721043116,0.006220828233831347,0.2548848299260681,0.2808817138837327
1957.0,0.027165330028545952,0.016300504879415253,0.006215402344758411,0.2535687541892649,0.2829554014328884
1957.25,0.027022817957029165,0.01626876402430947,0.006162421891527971,0.2518299021787172,0.2849547709196193
1957.5,0.027203484320457678,0.016381945179352715,0.006237245112979366,0.25167348671908196,0.28686536421333675
1957.75,0.02684144804729397,0.016412961243734422,0.005758206884551965,0.24597070851992062,0.2888480306288657
1958.0,0.026070852723827365,0.016164664743989535,0.0054644850801576555,0.23958506125773027,0.290373503418938
1958.25,0.026171625264636175,0.01623703428282724,0.005381347683699552,0.23756190191916018,0.2916239933218849
1958.5,0.02670712132631411,0.016375448949882142,0.005767767640117202,0.23855883960612556,0.29279585655158286
1958.75,0.027260693266897777,0.016470412593611556,0.006238273407716774,0.2413037885583716,0.29434089447050155
1959.0,0.027710969166996956,0.016803165419879702,0.0064825086357133575,0.24354088036177807,0.2963263810594566
1959.25,0.028262060107892048,0.017060690887339174,0.006788425138446847,0.24791355773141543,0.2985351394213966
1959.5,0.028211341574693474,0.017233326844630185,0.006434133571387939,0.24521721032258204,0.3010471036570214
1959.75,0.028226079233744886,0.01723900046519378,0.006485857476292764,0.24507340246261944,0.3032212782303171
1960.0,0.02879879938580543,0.017320367096072625,0.006982905358143992,0.24437986870530182,0.30546944121860453
1960.25,0.0285797736696999,0.017547235216672827,0.006459341542965182,0.24627047525156898,0.3081556127933809
1960.5,0.028643889366325177,0.017436419820382763,0.006468820089388072,0.24593274323502537,0.3101545107778808
1960.75,0.028181037001019635,0.017425388706765462,0.005886749791777921,0.24292085411931294,0.3119062594558059
1961.0,0.02824954058478415,0.01733894351456648,0.00611647144994744,0.2412997323935191,0.3127625294052335
1961.25,0.02858795173114817,0.01746816503226315,0.0063098867838278765,0.23770156407007068,0.3136366914262136
1961.5,0.028987412199798952,0.017481023599512695,0.006677536238216815,0.2382062287280039,0.3146203359258421
1961.75,0.029409821981801344,0.017707983810330955,0.006814519129259609,0.2399524900541677,0.3160117674053784
1962.0,0.029800731476411164,0.017800881704479805,0.007024892091109032,0.24185895091233744,0.3176701638795884
1962.25,0.029947934479814302,0.017980602863570595,0.006911760162172858,0.24241443017874154,0.31963756418628164
1962.5,0.0301991902789576,0.018065802652269047,0.007005157748801247,0.2408968542921848,0.3215297904535384
1962.75,0.03018279563611341,0.01826983924065696,0.006824354346829281,0.23868823135521192,0.32349659143678017
1963.0,0.0303926268343594,0.018298143634335372,0.006988272364822344,0.23887744099979263,0.32521941609883814
1963.25,0.030610744540354142,0.018393705876288587,0.007057923323385241,0.2393453353903386,0.32705335654176365
1963.5,0.031158226781584475,0.018633416793797392,0.007273092613985034,0.23898813854509682,0.3289237376570351
1963.75,0.031238286691512063,0.018632442962081403,0.007276249168653783,0.23921473003268062,0.3309959167959053
1964.0,0.03177354904141159,0.018954448345256326,0.007411845292809971,0.240352369177607,0.33306971585496203
1964.25,0.03199692683834324,0.019213836942210676,0.00740285535504501,0.24204824489536564,0.3352636372762534
1964.5,0.032372523487655104,0.019479761171468945,0.007447171249136534,0.24229720514738023,0.3374114064809231
1964.75,0.032346088535740065,0.019435327222422822,0.0075009523514494554,0.24304769018161626,0.3395463973997607
1965.0,0.03299600666490007,0.019753335961744903,0.007940573425767296,0.24499195559213,0.3416627762658877
1965.25,0.03327566643297094,0.01989833730940498,0.007927608267352046,0.24660129843289139,0.3441498329349029
1965.5,0.03387340450915557,0.020152723490136547,0.00814170860779859,0.2458203701162714,0.34656074593677
1965.75,0.034507755172804834,0.02055362240949373,0.008191790044099105,0.2475994423907232,0.34913268737912184
1966.0,0.03519808456892232,0.020795707471102525,0.008675070244148228,0.24987311124161604,0.3517079329801042
1966.25,0.03516846016186852,0.020760322809927362,0.008538666785770385,0.2507424081394349,0.3547191359031268
1966.5,0.035315395270621205,0.020866441149634856,0.008504083748378001,0.25109944042278765,0.3575418864277732
1966.75,0.03545317877699963,0.020849848247856382,0.008597747491271105,0.2507826771471416,0.3602802115140969
1967.0,0.03561419539553968,0.020854493573015366,0.00846721515320944,0.25065884342583966,0.3630639614589739
1967.25,0.03548373590807365,0.021042318530296773,0.00811076643801932,0.24827468563169128,0.3656746937572964
1967.5,0.03566715113479231,0.021053080992180978,0.008275683651936953,0.24873816134157017,0.3678969540598293
1967.75,0.035784694269738314,0.021039892744248452,0.008361328377380267,0.24892106650811074,0.37026284440177426
1968.0,0.03636238108784916,0.02144411513237945,0.00842264588905133,0.24836920550745345,0.37269377066397363
1968.25,0.03681616150685214,0.021672361647520913,0.008608539523865415,0.24938451493007097,0.3751506111625683
1968.5,0.0369457370631796,0.02199752273833919,0.008363085728823017,0.2500001237763187,0.37773896902310755
1968.75,0.036932164251446055,0.021936491572542124,0.008405278801690372,0.24990966692628497,0.3800091262387146
1969.0,0.0373450658323722,0.022068784681262898,0.008794091415146803,0.25190172100780256,0.38223988426475985
1969.25,0.03729021290827937,0.022112620989364184,0.008589883437663648,0.2515127393101791,0.3847856952164063
1969.5,0.037365728075621975,0.022080315679265425,0.00861599802114235,0.25132193511602324,0.38706519315474885
1969.75,0.03701362322727614,0.022126127993189422,0.008150258311455329,0.24957633732661993,0.38932613290889084
1970.0,0.03679012884198843,0.02210781558925287,0.007948935714524144,0.24659336845843527,0.3910894580038417
1970.25,0.03667418895934113,0.022043854700217348,0.007912588336289186,0.2437431952181385,0.3926212233015087
1970.5,0.036842202191638536,0.022167997148219872,0.007942862618109333,0.24057459380564786,0.3940803244581228
1970.75,0.0362781974059943,0.022000068966734215,0.007593171535535107,0.23827154953803453,0.39552522828599324
1971.0,0.037088230310152515,0.022190612384052278,0.008087847735374163,0.23770851180740776,0.3965734149559129
1971.25,0.037112245810388765,0.022250092410781516,0.008205629305461211,0.2372813786979351,0.39808481506356375
1971.5,0.03724080636810332,0.022312640152606592,0.008260696582282574,0.2359179739633009,0.3996939426925357
1971.75,0.03715411194457561,0.022528471130117994,0.008018884534237698,0.23607269126963865,0.4013539129836124
1972.0,0.03766346167647569,0.02261587719206237,0.008354181945358627,0.23837804218085917,0.4027810292623548
1972.25,0.03834462622850266,0.02293239793737048,0.00871189796484165,0.2383128131680728,0.40454860584205954
1972.5,0.038534210906140634,0.02316407200605168,0.008727724102997082,0.23872840315719146,0.40666416665443367
1972.75,0.03900599112358017,0.023496305903524296,0.008874548056310569,0.2393508177506373,0.40877249555066975
1973.0,0.03979489260223542,0.023833948098497874,0.00925874259355627,0.24098436305873494,0.4109978616017022
1973.25,0.04005155659521162,0.02380986228875436,0.009453715951581112,0.24218986604596243,0.4135801448074813
