 1929 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000
 0.6 0.5 0.4 0.2 0.3 0.3 0.4 0.4 0.5 0.3 0.3 0.3 0.4 0.3 0.4 0.4 0.4 0.5 0.4 0.4 0.4 0.5 0.6 0.6 0.6 0.5 0.7 0.7 0.8 0.8 1 1.1 1 1.2 1.2 1.3 1.6 1.9 1.9 2.3 2.4 2.5 3.1 3 3.3 3.7 5.9 4.6 5.4 7.1 7.5 7.2 8.6 8.6 9.1 11.9 12.2 13.7 15.5 16.4 17.5 17.5 16.8 18.3 19.8 21.4 19.8 19.2 19.6 19.6 19.2 21.1
 0.1 0.1 0 0 0 0 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.2 0.3 0.3 0.2 0.3 0.3 0.3 0.2 0.2 0.2 0.2 0.2 0.3 0.3 0.3 0.3 0.4 0.4 0.5 0.5 0.6 0.8 1.1 1.2 1.2 1.3 1.3 1.3 1.4 1.5 1.6 1.9 2 2.2 2.7 3.3 4.1 5.6 7 8.3 8.5 10.1 11.6 9.3 11.1 10 11.4 12.7 16.8 17.8 19 18.5 15.3 20.2 16.3 16.5 16.8 20.3
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  0 0 0.1 0.1 0.1 0.1 0.1 0.1 0.2 0.2 0.2 0.2 0.3 0.4 0.4 0.5 0.6 0.7 0.9 1.1 1.5 2.3 3.5 3.8 3.5 3.9 3.5 2.4 2.3 2 2.1 2.6 2.8 2.6 2.7 2.7 2.7 4.2 4.7 3.8 3.5 5.1
 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.2 0.2 0.2 0.2 0.3 0.3 0.3 0.2 0.2 0.2 0.4 0.4 0.4 0.4 0.5 0.6 0.6 0.7 1.2 1.6 1.8 2 3.2 3.4 3.5 3.5 4 4.6 7.5 7.9 8.7 7.8 4.4 7.2 2 1.9 2 2.6
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  0.2 0.2 0.3 0.3 0.4 0.5 0.8 0.9 0.8 0.8 0.8 0.8 0.8 0.9 0.8 0.9 1 1 1.3 1.7 2.1 2.6 2.4 3 3.2 4.3 5 3.5 5.2 4.5 5.3 5.5 6.5 7.3 7.6 8 8.2 8.8 9.5 10.7 11.3 12.5
 5.9 6.2 6 5.9 5.5 5.7 6 6.4 6.8 7 7.1 7.4 7.8 7.8 7.8 8 8.4 9.3 10.7 12.2 13.3 14.6 15.9 17.4 18.8 19.9 21.6 23.8 25.7 27.2 29.3 32 34.4 37 39.4 42.6 46.1 49.7 53.9 60.8 67.4 74.8 83.1 91.2 99.5 107.2 115.8 127.8 139.9 148.9 158.6 172.3 192 206.8 226.8 251.5 272 293.1 312.4 333.7 358.5 383.4 403.8 429.2 454.8 480.1 501.6 524.9 552.5 583.9 612.5 651.5
 0.4 0.5 0.6 0.6 0.7 0.9 1.2 1.4 1.5 1.6 1.7 1.8 2.1 2 2 2 2.3 2.9 3.5 4.1 4.3 4.8 5.4 5.8 6.3 6.5 7.1 8 8.6 10 11.1 12.2 13 14 15 16.5 18.2 20 21.4 25.1 28.6 31.6 35.4 39.8 44.1 48.2 51.7 57.8 64 71 77.3 82.9 90.7 96.2 107.7 121 131.1 139.9 150.3 161.5 172.7 183.2 190 202.2 216 230.9 243.6 255.6 269.3 284.2 300.6 321.5
 0.4 0.5 0.5 0.6 0.6 0.9 1.1 1.3 1.4 1.5 1.5 1.7 1.9 1.9 1.8 1.9 2.1 2.7 3.2 3.7 3.9 4.3 4.8 5.2 5.5 5.8 6.3 7.1 7.6 8.9 10 10.8 11.6 12.6 13.4 14.5 16.1 18 19.4 22.8 25.7 28.2 31.4 35.2 38.8 42 44.7 49.9 55 60.8 65.7 70 76.5 80.3 90 100.9 109 115.8 124.6 134.2 142.8 151.5 157.1 167.6 179.1 191.4 201.5 210.9 222 233.5 246.2 262.6
  NaN   NaN  0 0 0.1 0.2 0.3 0.4 0.4 0.4 0.5 0.5 0.6 0.6 0.7 0.8 0.8 1.1 1.3 1.6 1.6 1.8 2.1 2.3 2.5 2.6 2.8 3.2 3.5 3.5 4.1 4.4 4.8 5.4 5.8 6.4 7.3 8.6 9.5 11.7 13.3 14.8 16.6 18.9 21.1 23.9 25.8 29.3 33.1 37.5 41.8 44.8 49 51.2 58.2 66.5 72.3 76.8 83 90.4 97 102.6 104.9 111.6 118.8 127.6 135.8 143.2 152 160.5 170 183.4
 0.4 0.5 0.5 0.5 0.5 0.6 0.6 0.7 0.7 0.8 0.8 0.9 1 0.9 0.7 0.7 0.8 1 1.2 1.3 1.5 1.6 1.8 2 2.1 2.3 2.5 2.8 2.9 3 3.2 3.4 3.6 3.8 4 4.2 4.5 4.8 5 5.5 6 6.4 6.9 7.6 8.3 8.1 8.4 9 9.3 9.7 9.7 9.6 10.1 10.5 11.6 12.9 14 14.9 16.5 17.7 18.6 20 21.3 23 24 25 25.7 26.6 27.7 28.7 29.6 30.7
  NaN   NaN  0 0 0 0.1 0.1 0.2 0.2 0.2 0.2 0.2 0.2 0.3 0.3 0.3 0.4 0.4 0.4 0.4 0.4 0.4 0.5 0.4 0.5 0.5 0.5 0.6 0.6 0.6 0.6 0.7 0.7 0.8 0.8 0.9 0.9 1 1.1 1.2 1.3 1.5 1.6 1.7 1.9 2 2 2.1 2.2 2.3 2.4 2.5 2.7 2.7 2.8 3 3.1 3.1 3.2 3.1 3.1 3.3 3.5 3.5 3.6 3.6 3.6 3.7 3.7 3.8 4 4.2
  NaN   NaN  0 0 0 0 0 0 0.1 0.1 0.1 0.1 0.1 0.1 0.2 0.2 0.2 0.2 0.3 0.4 0.4 0.4 0.4 0.5 0.5 0.5 0.5 0.5 0.6 0.6 0.8 1 1 1.1 1.2 1.2 1.4 1.6 1.7 2 2.1 2.4 2.6 3 3.2 3.3 3.3 3.5 3.6 3.7 3.7 3.8 3.9 4.1 4 4.2 4.4 4.6 4.7 4.8 5.3 5.8 6 6 6.5 7 7.3 7.4 7.6 7.9 8.3 8.7
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  0.3 0.4 0.4 0.4 0.4 0.5 0.5 0.5 0.6 0.6 0.7 0.8 0.9 1.2 1.3 1.4 1.5 1.9 2.1 2.4 2.7 2.9 3.7 4.6 5.4 5.9 5.9 6.2 6 6.1 6 6.2 6.6 7.1 7.9 8.4 8.3 8.3 8.6 8.7 8.8 9 9.2
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  0.5 0.5 0.6 0.6 0.6 0.6 0.7 0.8 0.8 0.8 0.9 1.2 1.1 1.4 1.4 1.6 1.7 1.7 2 2.4 2.7 2.9 3.2 3.4 3.5 4 4.2 4.8 5.9 6.7 7.2 7.3 7.4 7.8 7.8 8.3 8.6 8.8 9.1 9.2 9.4 9.7 10
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  0.4 0.4 0.4 0.4 0.5 0.5 0.6 0.6 0.7 0.7 0.8 0.9 1 1.2 1.3 1.5 1.5 1.6 1.9 2.1 2.2 2.3 2.4 2.7 3 3.5 4.1 4.3 4.4 4.5 5.1 5.3 5.8 6.6 7.7 9.5 11.3 11.8 12.3 13 14.2 15.6 16.5
 0 0 0 0 0 0 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.2 0.2 0.3 0.4 0.5 0.5 0.6 0.6 0.7 0.7 0.8 0.9 1 1.1 1.2 1.3 1.4 1.5 1.6 1.9 2.1 2 1.9 2.3 2.9 3.5 4 4.6 5.2 6.1 7 7.9 9 10.2 11.5 12.8 14.3 15.9 17.7 20.1 22.1 24.1 25.7 27.3 29.9 31.7 33 34.6 36.9 39.6 42.1 44.6 47.3 50.7 54.4 58.9
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  0.7 0.9 0.9 1 1.1 1.2 1.3 1.3 1.2 1.4 1.8 2.2 2.5 3 3.4 4.1 4.6 5.2 5.9 6.7 7.7 8.8 9.8 10.8 12.2 14 15.5 16.9 17.9 18.9 20.8 22.1 22.9 24 25.5 27.4 29.2 31 32.8 35.5 38.5 42.2
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  0.2 0.3 0.3 0.3 0.3 0.4 0.4 0.4 0.4 0.5 0.6 0.7 0.9 1 1.1 1.3 1.5 1.8 2 2.3 2.5 2.6 2.8 3.2 3.5 3.8 4 4.1 4.3 4.5 4.8 5.1 5.6 6 6.4 6.8 7.2 7.6 8 8.3 8.6 9
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  0.2 0.2 0.2 0.2 0.2 0.4 0.4 0.3 0.4 0.4 0.4 0.5 0.6 0.6 0.7 0.8 0.9 1 1.1 1.2 1.3 1.4 1.7 1.8 2 2.3 2.6 3.1 3.5 3.9 4.2 4.5 4.5 4.6 5 5.4 5.7 6 6.5 6.8 7.2 7.6
 4.5 4.7 4.5 4.4 4 3.9 4 4.1 4.2 4.3 4.3 4.4 4.4 4.4 4.5 4.6 4.6 4.8 5.3 5.9 6.6 7.1 7.7 8.4 9.1 9.7 10.4 11.5 12.6 13.8 14.8 16.2 17.6 19 20.2 21.7 23.2 24.5 27 29.9 32.8 36.7 40.4 43.2 46.4 49 53.4 58.2 63.2 63.7 64.4 68.8 77.1 85.3 91.9 99.7 107.5 116.2 126.4 136.8 148.7 161.1 172.8 182.8 191.1 197.6 203.5 211.4 220.3 230.3 239.5 248.4
 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.3 0.3 0.4 0.4 0.5 0.5 0.6 0.6 0.6 0.7 0.7 0.7 0.7 0.8 0.8 0.8 0.9 0.9 1 1 1 1 1.1 1.1 1.2 1.3 1.4 1.5 1.4 1.6 1.6 1.7 1.8 2 2.1 2.1 2.1 2.3 2.6 2.7 3 3.1 3.3 3.5 3.6 3.8 4.1 4.3 4.5 4.6 4.8 5 5.3 5.6
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  0.4 0.4 0.5 0.5 0.5 0.5 0.5 0.6 0.6 0.6 0.7 0.7 0.7 0.8 0.9 1.6 1.8 2.1 2.3 2.6 3.5 5 7.5 7.8 7.1 7.3 7 5 4.3 4 4.3 5.2 5.2 4.9 4.6 4.4 4.3 4.5 4.5 3.6 3.8 5.2
 0.5 0.5 0.5 0.5 0.4 0.4 0.4 0.5 0.6 0.6 0.6 0.7 0.7 0.8 0.8 0.8 0.9 1 1.2 1.3 1.5 1.6 1.8 2 2.2 2.3 2.5 2.8 2.9 1.7 1.4 1.5 1.6 1.6 1.7 1.8 1.9 2.2 2.4 2.4 2.5 2.6 3.1 3.6 3.9 3.8 4 4.4 4.8 5.5 6.2 6.8 6.8 7 8.4 10.1 11.8 13.6 15.1 15.6 16.4 16.6 17 18.9 21 23.2 24.5 25.8 27.7 30.2 32 33.4
 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.4 0.4 0.4 0.4 0.4 0.4 0.3 0.4 0.4 0.5 0.6 0.6 0.7 0.7 0.9 0.9 0.9 1 1.1 0.8 0.9 1 1.1 1.1 1.3 1.3 1.4 1.6 1.8 1.9 2.1 2.3 2.5 2.9 3.2 3.4 3.7 3.9 4.4 5.4 7 7.8 8.4 9.7 11.1 12 15.8 13.4 12.7 13.1 13.8 15.2 16.7 18 19.6 21.2 23.1 25.9 30.6 31.4 37.4
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  0.3 0.3 0.4 0.4 0.4 0.4 0.5 0.5 0.6 0.7 0.8 0.8 0.9 1 1.1 1.3 1.3 1.4 1.3 1.3 1.9 3.1 3.3 3.5 4.3 4.9 5.4 6.3 5.4 4.5 4.1 4.2 4.5 4.8 4.5 4.5 4.5 4.5 4.7 4.5 4.5 4.9
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  0.3 0.4 0.4 0.4 0.4 0.5 0.5 0.5 0.4 0.5 0.5 0.6 0.7 0.8 0.8 0.8 0.9 0.9 0.9 1.1 1.2 1.3 1.5 1.6 1.8 2 2.1 2.3 2.5 2.4 2.4 2.4 2.5 2.8 2.9 3.1 3.1 3.2 3.4 3.5 3.5 3.6
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.2 0.2 0.2 0.3 0.3 0.3 0.3 0.3 0.3 0.4 0.4 0.5 0.6 0.7 0.8 1 1.1 1.3 1.5 1.6 3.8 1.9 2 2.2 2.4 2.6 3 3.5 4 4.7 5.5 6 6.4 6.8 7.3
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  0.1 0.1 0.2 0.2 0.2 0.2 0.2 0.2 0.3 0.3 0.3 0.4 0.4 0.5 0.7 0.8 0.9 1 1.2 1.4 1.6 1.7 2 2.2 2.4 2.7 2.8 3.4 3.6 3.8 4.4 4.9 5.6 6.1 7.2 8 8.9 9.9 11.8 16.2 16.5 21.6

