 1929 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000
 0.1 0.1 0.1 0 0.1 0.2 0 0.1 0.2 0.2 0.2 0.1 0.1 0.2 0.2 0.3 0.6 1 0.3 0.5 0.6 0.3 0.5 0.3 0.3 0.3 0.4 0.6 0.9 0.4 1.1 0.9 1.1 1.1 1.3 1.4 1.5 1.8 2 1.7 2.2 2.4 2.3 2.7 2.5 3.1 2.5 3.3 4 4.8 5.2 5.9 10.3 7.4 8 8.2 7.2 6 7.1 6.9 6.5 7.1 6.1 7.5 7.5 7.8 7.4 7.6 8.5 8.1 6.1 7.4
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0.2 0.1 0 0 0 0 0 0 0 0 0 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0.1 0.1 0.1 0.6 1 1.2 1.8 1.8 1.8 1.7 1.4 1.2 0.7 0.8 0.7 0.9 1 1.1 0.7 0.6 0.6 0.6 1.1 0.6 0.2 0.2 1.3
 0.6 0.6 0.6 0.5 0.8 1.4 1.1 3.1 2.6 3.1 3 2.7 1.8 1.1 1.6 1.3 1.8 3.3 3.5 4.1 4.3 4.3 4.2 4.8 4.8 4.8 4.7 5.6 5.7 6.2 6.7 7.8 8.7 9.8 11.2 12.7 13.7 15.3 15.7 16.2 17.2 20 22.7 25.7 27.7 31 35.4 37.4 42.4 47 51.8 58.4 61.9 64.3 68.5 72.1 75.9 77.5 84 89.5 94.6 106.4 112.9 122.4 126.3 131 134.3 135.7 143.6 145.6 151 163.6
 0.6 0.6 0.6 0.5 0.8 1.4 1.1 3.1 2.6 3.1 3 2.7 1.8 1.1 1.6 1.4 2 3.8 3.7 4.2 4.3 4.5 4.3 4.9 4.8 4.8 5.2 5.7 6 6.5 7 7.9 8.8 9.9 11.5 12.9 13.9 15.4 15.8 16.5 17.5 20.2 23 26.2 28.2 31.6 36.1 38.2 43.3 47.9 53 59.7 63 65.4 69.8 73.7 77.5 79.3 86.1 91.9 97.1 108.7 115.8 125.1 128.8 134.3 137.4 138.4 145.5 147.6 153 166.2
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.2 0.4 0.2 0.1 0 0.2 0.1 0.1 0 0.1 0.5 0.1 0.3 0.3 0.3 0.1 0.2 0.2 0.3 0.2 0.2 0.2 0.2 0.3 0.3 0.3 0.3 0.5 0.6 0.6 0.7 0.8 0.9 0.9 1.2 1.3 1.1 1.1 1.3 1.6 1.6 1.8 2.1 2.3 2.5 2.3 3 2.7 2.5 3.3 3 2.7 1.9 2 2 2.5
 5.1 5.3 5.4 5.2 5.1 5.5 6 4.7 5.2 5.2 5.5 5.9 6.4 7.2 7.6 7.8 8.2 9.3 11 12.5 13.8 15.1 16.3 17.4 18.5 20 21.9 23.8 26.2 29 31.1 34 37 39.4 42.4 46.3 50.8 56.8 63.2 71.1 80.2 92 103.4 113.8 126.9 144.5 165.4 180.1 196.5 214.3 235 260.5 284.6 306.8 325.1 349.5 380.5 410.8 439 467.9 503 545.8 576.1 601.6 629.5 662.6 694.7 726.5 766.4 808.3 858.4 929
 0.1 0.1 0.1 0.1 0.1 0 0 0 0.1 0.1 0.1 0.1 0.1 0 0 0 0 0.1 0.1 0.1 0.1 0.2 0.2 0.2 0.2 0.2 0.2 0.3 0.3 0.3 0.4 0.4 0.4 0.5 0.5 0.6 0.6 0.7 0.8 0.9 1 1.1 1.3 1.5 1.8 2.2 2.7 3.1 3.6 3.9 4.3 4.7 5.3 5.9 6.3 6.9 7.4 8.2 8.7 9.2 10 10.6 11.3 11.9 12.1 12.2 12.7 13.1 13.8 14.8 15.7 16.9
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  0.4 0.4 0.4 0.5 0.5 0.6 0.6 0.7 0.8 1 1.2 1.4 1.7 2.1 2.3 2.7 3.1 3.5 3.9 4.2 4.7 5.1 5.8 6.4 6.9 7.5 8 8.9 9.4 10 10.9 11.4 12.2 12.8 13 13.2 13.8 14.2 15 16.1 17 18.3
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  0 0 0 0 0 0 0 0 0 0.1 0.2 0.3 0.4 0.6 0.5 0.5 0.4 0.4 0.3 0.3 0.3 0.4 0.5 0.5 0.6 0.6 0.7 0.7 0.7 0.8 0.8 0.9 0.9 0.9 1 1 1.1 1.1 1.2 1.2 1.3 1.4
 0.5 0.6 0.6 0.6 0.6 0.8 0.8 0.7 0.7 0.8 0.8 0.8 0.9 1 1 0.9 1 1 1.2 1.2 1.4 1.7 1.6 1.5 1.5 1.6 1.8 1.7 1.8 2.2 2.6 2.8 3 3 3.1 3.3 3.6 3.9 4.2 4.7 5.5 6.5 7.7 8.4 9.5 12.3 15.4 17.6 20.1 21.8 25 28.3 31.2 32 33.2 35.5 38.1 37.6 40.8 42.8 48 53.6 55.9 59 62.5 66.7 72.9 79.9 81.7 83.4 91.8 110.9
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  3.6 3.8 4.1 4.2 4.5 4.8 5.3 5.8 6.2 6.8 7.7 8.9 10 10.8 12.2 15.2 18.6 21.1 23.9 26 29.6 33.3 36.7 37.9 39.4 42.1 45 45 48.6 51 56.7 62.7 65.2 68.6 72.7 77.3 83.9 91.3 93.8 96.1 105.2 125
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  1 1 1.1 1.2 1.4 1.5 1.7 1.8 2 2.1 2.3 2.4 2.4 2.4 2.7 2.9 3.2 3.5 3.9 4.2 4.6 5 5.6 5.9 6.2 6.6 6.9 7.4 7.8 8.2 8.7 9.1 9.3 9.7 10.2 10.6 11 11.4 12.1 12.7 13.4 14.2
 4.5 4.7 4.7 4.5 4.5 4.7 5.2 4 4.5 4.4 4.7 5 5.5 6.1 6.6 6.8 7.2 8.2 9.7 11.1 12.2 13.2 14.5 15.6 16.8 18.2 19.8 21.8 24.1 26.5 28.2 30.8 33.6 36 38.8 42.4 46.5 52.1 58.3 65.5 73.7 84.3 94.4 104 115.5 130 147.3 159.3 172.8 188.6 205.7 227.5 248.1 268.9 285.6 307.1 335 365 389.5 415.9 444.9 481.5 508.9 530.8 554.9 583.7 609 633.6 670.9 710.1 750.8 801.2
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  30.5 33.4 36.4 39.2 42.5 46.5 51.3 57.6 64.6 72.9 82 93.6 105.2 116.3 129.4 145.4 164.4 179 194.6 213.4 234.2 259.8 285.9 312.3 334.6 359.9 393.2 428.7 458.3 491.4 529.5 575.3 614.3 649.6 686.4 725.7 761.9 796.2 841.5 890.5 942 1006.5
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  2.3 2.6 2.8 3.2 3.6 4.1 4.8 5.5 6.3 7.4 8.3 9.3 10.8 12.3 13.9 15.4 17.1 19.6 21.8 24.8 28.6 32.3 37.8 43.4 49.1 52.8 58.1 63.7 68.8 75.5 84.6 93.8 105.4 118.8 131.5 141.9 152.9 162.6 170.6 180.4 191.2 205.3
 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.2 0.2 0.2 0.2 0.2 0.3 0.3 0.4 0.4 0.4 0.5 0.6 0.7 0.8 1 1.2 1.4 1.7 1.9 2.4 2.9 3.2 3.7 4 4.3 4.7 5.2 5.8 6.4 7.3 8.3 9.4 10.7 11.8 12.8 13.9 15.1 16.7 18.5 20.4 22.7 25.6 27.5 29.4 31.3 33.2 35.5 38.1 40.5 43.1
 0.2 0.2 0.2 0.2 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.2 0.2 0.2 0.2 0.2 0.3 0.3 0.3 0.3 0.4 0.4 0.5 0.5 0.6 0.9 1 1 1.1 1.3 1.4 1.5 1.8 2.1 2.6 3.2 3.5 3.9 4.7 5.6 6.6 7.5 8.5 9.9 10.9 12.7 15.2 17.4 21.1 24.6 27.9 29.5 32.2 34.9 37.2 40.5 45.1 50.1 57.1 65.4 73 78.7 84.9 89.1 91.6 95.7 101.1 108
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  1 1.1 1.3 1.4 1.6 1.8 2 2.2 2.4 2.5 2.8 3 3.3 3.4 3.6 3.9 4.3 5 5.6 6.3 6.9 7.6 8.5 9.4 10.4 11.6 13.2 14.8 16.5 18.4 21 23.2 25.6 27.8 31 33.8 36.7 40.3 43.5 46.6 49.6 54.1

