  1925 1926 1927 1928 1929 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  8841 6857 4943 8072 7521 7722 7844 8322 10559 15214 17975 17535 16997 17620 19781 20856 22101 22257 22811 23733 25033 24069 23728 20907 20854 19560 18378 19022 17502
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  16496 14976 13674 12699 11912 11349 11080 11082 11465 12302 13295 14559 16424 18829 21350 23912 26041 27689 29408 29842 30478 31568 32196 32676 33067 33848 35075 37428 39758
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  12259 14075 15713 18129 20951 23169 25613 28661 32806 37717 40181 42164 46152 50851 54504 58121 63253 69467 73253 79587 84742 86624 88487 91222 93898 94503 95079 96084 98034
 4472 4401 4216 4039 3804 3448 3023 2856 3101 3295 3462 3791 3975 4031 4153 4904 9282 20845 26606 28409 32477 38435 44465 43849 41547 44976 51940 53544 54074 57317 56819 63384 65865 70036 69088 69372 71220 72735 74033 75009 76430 79233 85136 88973 95288 103800 110904 125648 144407 171637 172404 188396 189731 205695 235477 259336 261827 266893 273470 287088 294874 309678 316450 337723 352683 358350 369154 386682 409065 426004 438816 450089 462134 472338 487662 502928
 0 0 0 0 0 0 0 0 2 15 28 140 290 382 409 567 2186 6228 8731 9987 11801 14193 17299 16384 15829 16770 19791 19775 21273 24244 21428 24269 25852 26795 25531 24917 25397 25192 25289 25248 26711 27685 29816 29799 31550 33225 35996 36004 39288 45813 45410 46980 49486 54008 62425 67550 74065 77329 84734 85193 83547 83155 89884 101641 107316 109746 108255 110572 114176 118587 121198 124367 127803 131737 136695 141028
 0 0 0 0 0 0 0 0 0 1 10 78 181 220 225 236 485 902 1714 2029 2269 2967 4833 3211 3254 4111 5098 3705 4081 6269 2484 3695 3840 4218 4672 4919 5144 5287 5266 5465 5608 5635 5562 6027 6497 6621 7179 8240 9036 9725 10749 12328 14013 16875 21564 21946 24928 27084 35161 35422 32989 31269 36355 47288 51497 52505 51156 53474 57251 60723 62370 64458 66655 69455 73209 76055
 0 0 0 0 0 0 0 0 2 14 18 63 109 163 184 331 1701 5325 7017 7958 9533 11226 12466 13173 12574 12659 14694 16070 17191 17975 18944 20574 22012 22577 20859 19999 20254 19905 20023 19783 21104 22049 24254 23772 25053 26604 28817 27764 30252 36087 34662 34652 35473 37134 40861 45604 49137 50245 49573 49771 50558 51885 53529 54353 55819 57240 57099 57098 56925 57864 58828 59909 61148 62282 63486 64973
 4472 4401 4216 4039 3804 3448 3023 2856 3098 3280 3435 3651 3685 3648 3744 4338 7096 14617 17875 18422 20675 24241 27167 27465 25718 28206 32149 33769 32801 33073 35391 39115 40013 43241 43556 44454 45823 47543 48744 49761 49718 51549 55321 59174 63738 70575 74908 89644 105118 125824 126994 141416 140245 151687 173052 191786 187763 189564 188737 201895 211326 226523 226566 236081 245367 248605 260899 276110 294888 307417 317618 325722 334332 340601 350967 361900
 2375 2404 2441 2500 2559 2556 2454 2512 3175 4002 5085 6235 7188 7823 8297 9189 10493 11184 12280 12659 14315 17340 19890 21818 21918 22808 23771 26087 25791 26354 28065 29479 31110 32085 33126 34490 36384 39371 42742 45893 50708 55997 60400 65629 71709 77717 84698 90776 99153 117688 130649 138744 149305 163672 183975 209119 232817 246514 252568 262541 272674 283339 296005 309818 327422 344017 356857 369259 386910 405756 429330 452306 474369 490706 517032 543718
 74 70 70 73 78 86 96 99 119 339 588 652 693 800 937 1154 1924 2177 2401 2395 2391 2557 2990 2991 2853 3340 3118 3468 3409 3266 3138 3063 3122 3192 3334 3424 3594 3992 4740 5799 7011 8428 9648 10557 11375 12202 12747 13023 13875 15697 16898 17585 18724 20635 23136 26449 29430 30864 33055 36365 39298 42156 44680 49049 54042 59628 63458 68040 73008 76342 80446 83439 87972 93609 102242 110625
